"Class","Order","Family","Genus"
"epsilonproteobacteria","campylobacterales","thiovulaceae","sulfuricurvum"
"alphaproteobacteria","hyphomicrobiales","phyllobacteriaceae","nitratireductor"
"cytophagia","cytophagales","marivirgaceae","marivirga"
"gammaproteobacteria","thiotrichales","thiotrichaceae","thiomargarita"
"mollicutes","mollicutes","mollicutes","candidatus bacilloplasma"
"chloroflexia","chloroflexales","chloroflexaceae","chloroflexus"
"bacilli","bacillales","planococcaceae","planococcus"
"gammaproteobacteria","cellvibrionales","spongiibacteraceae","dasania"
"actinomycetia","micrococcales","sanguibacteraceae","sanguibacter"
"gammaproteobacteria","xanthomonadales","rhodanobacteraceae","mizugakiibacter"
"chitinophagia","chitinophagales","chitinophagaceae","flavihumibacter"
"negativicutes","selenomonadales","sporomusaceae","psychrosinus"
"actinomycetia","micrococcales","cellulomonadaceae","actinotalea"
"tissierellia","tissierellales","peptoniphilaceae","peptoniphilus"
"gammaproteobacteria","gammaproteobacteria","gammaproteobacteria","candidatus nardonella"
"betaproteobacteria","burkholderiales","burkholderiales","xylophilus"
"clostridia","halanaerobiales","halobacteroidaceae","natroniella"
"bacilli","bacillales","bacillaceae","caldalkalibacillus"
"actinomycetia","actinomycetales","actinomycetaceae","flaviflexus"
"erysipelotrichia","erysipelotrichales","erysipelotrichaceae","faecalitalea"
"alphaproteobacteria","holosporales","candidatus paracaedibacteraceae","candidatus odyssella"
"actinomycetia","micrococcales","dermacoccaceae","dermacoccus"
"clostridia","thermoanaerobacterales","thermoanaerobacteraceae","caldanaerobacter"
"chrysiogenetes","chrysiogenales","chrysiogenaceae","chrysiogenes"
"verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","fucophilus"
"clostridia","eubacteriales","eubacteriales family xii. incertae sedis","fusibacter"
"actinomycetia","propionibacteriales","nocardioidaceae","friedmanniella"
"cyanobacteria","pleurocapsales","hyellaceae","pleurocapsa"
"bacilli","bacillales","bacillaceae","psychrobacillus"
"bacilli","bacillales","thermoactinomycetaceae","lihuaxuella"
"clostridia","eubacteriales","heliobacteriaceae","heliophilum"
"deltaproteobacteria","desulfurellales","desulfurellaceae","hippea"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","craurococcus"
"alphaproteobacteria","sphingomonadales","sphingosinicellaceae","sandaracinobacter"
"actinomycetia","bifidobacteriales","bifidobacteriaceae","bifidobacterium"
"gammaproteobacteria","oceanospirillales","saccharospirillaceae","reinekea"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","escherichia"
"cyanobacteria","oscillatoriales","oscillatoriaceae","oscillatoria"
"bacilli","bacillales","bacillaceae","allobacillus"
"opitutae","puniceicoccales","puniceicoccaceae","coraliomargarita"
"alphaproteobacteria","rhodothalassiales","rhodothalassiaceae","rhodothalassium"
"cyanobacteria","oscillatoriales","oscillatoriaceae","phormidium"
"betaproteobacteria","burkholderiales","alcaligenaceae","bordetella"
"alphaproteobacteria","maricaulales","robiginitomaculaceae","algimonas"
"actinomycetia","micromonosporales","micromonosporaceae","plantactinospora"
"clostridia","eubacteriales","gracilibacteraceae","gracilibacter"
"actinomycetia","micrococcales","microbacteriaceae","diaminobutyricimonas"
"holophagae","holophagales","holophagaceae","geothrix"
"clostridia","eubacteriales","symbiobacteriaceae","caldinitratiruptor"
"alphaproteobacteria","hyphomicrobiales","tepidamorphaceae","tepidamorphus"
"gammaproteobacteria","enterobacterales","morganellaceae","cosenzaea"
"alphaproteobacteria","rickettsiales","rickettsiaceae","candidatus trichorickettsia"
"bacilli","bacillales","bacillaceae","cerasibacillus"
"alphaproteobacteria","rhodospirillales","rhodospirillaceae","tistrella"
"gammaproteobacteria","chromatiales","chromatiaceae","rheinheimera"
"bacteroidia","bacteroidales","paludibacteraceae","paludibacter"
"alphaproteobacteria","hyphomicrobiales","rhodovibrionaceae","fodinicurvata"
"bacteroidia","marinilabiliales","marinilabiliaceae","saccharicrinis"
"actinomycetia","micrococcales","microbacteriaceae","compostimonas"
"bacilli","bacillales","paenibacillaceae","aneurinibacillus"
"betaproteobacteria","ferrovales","ferrovaceae","ferrovum"
"gammaproteobacteria","gammaproteobacteria","gammaproteobacteria","methylohalomonas"
"gammaproteobacteria","thiotrichales","francisellaceae","francisella"
"actinomycetia","micromonosporales","micromonosporaceae","couchioplanes"
"dehalococcoidia","dehalococcoidales","dehalococcoidaceae","dehalococcoides"
"actinomycetia","streptomycetales","streptomycetaceae","parastreptomyces"
"alphaproteobacteria","rickettsiales","rickettsiales","candidatus hepatobacter"
"flavobacteriia","flavobacteriales","flavobacteriaceae","muricauda"
"bacilli","bacillales","alicyclobacillaceae","kyrpidia"
"gammaproteobacteria","enterobacterales","hafniaceae","hafnia"
"actinomycetia","micrococcales","microbacteriaceae","rathayibacter"
"betaproteobacteria","burkholderiales","burkholderiales","candidatus branchiomonas"
"deltaproteobacteria","desulfarculales","desulfarculaceae","desulfocarbo"
"clostridia","halanaerobiales","halanaerobiaceae","halocella"
"verrucomicrobiae","verrucomicrobiales","akkermansiaceae","akkermansia"
"gammaproteobacteria","vibrionales","vibrionaceae","vibrio"
"tissierellia","tissierellales","peptoniphilaceae","helcococcus"
"bacilli","bacillales","planococcaceae","jeotgalibacillus"
"actinomycetia","streptosporangiales","streptosporangiaceae","thermopolyspora"
"bacilli","bacillales","bacillaceae","anoxybacillus"
"alphaproteobacteria","hyphomicrobiales","stappiaceae","stappia"
"alphaproteobacteria","hyphomicrobiales","pseudoxanthobacteraceae","pseudoxanthobacter"
"saprospiria","saprospirales","saprospiraceae","aureispira"
"clostridia","thermoanaerobacterales","thermoanaerobacteraceae","thermacetogenium"
"bacilli","bacillales","sporolactobacillaceae","tuberibacillus"
"alphaproteobacteria","hyphomicrobiales","methylocystaceae","hansschlegelia"
"alphaproteobacteria","sphingomonadales","zymomonadaceae","zymomonas"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","neoasaia"
"gammaproteobacteria","methylococcales","methylothermaceae","methylothermus"
"actinomycetia","micrococcales","microbacteriaceae","leifsonia"
"spirochaetia","spirochaetales","borreliaceae","borrelia"
"gammaproteobacteria","alteromonadales","colwelliaceae","thalassotalea"
"betaproteobacteria","betaproteobacteria","betaproteobacteria","candidatus vidania"
"betaproteobacteria","burkholderiales","comamonadaceae","schlegelella"
"betaproteobacteria","burkholderiales","alcaligenaceae","pusillimonas"
"clostridia","eubacteriales","clostridiaceae","tindallia"
"cyanobacteria","synechococcales","heteroleibleiniaceae","tapinothrix"
"gammaproteobacteria","chromatiales","chromatiaceae","thiocystis"
"cytophagia","cytophagales","amoebophilaceae","candidatus cardinium"
"bacilli","lactobacillales","carnobacteriaceae","agitococcus"
"fusobacteriia","fusobacteriales","leptotrichiaceae","leptotrichia"
"cyanobacteria","oscillatoriales","coleofasciculaceae","roseofilum"
"gammaproteobacteria","alteromonadales","shewanellaceae","shewanella"
"actinomycetia","micromonosporales","micromonosporaceae","catenuloplanes"
"gammaproteobacteria","enterobacterales","morganellaceae","xenorhabdus"
"actinomycetia","micrococcales","dermatophilaceae","dermatophilus"
"betaproteobacteria","burkholderiales","comamonadaceae","comamonas"
"gammaproteobacteria","chromatiales","ectothiorhodospiraceae","nitrococcus"
"deltaproteobacteria","desulfovibrionales","desulfovibrionaceae","lawsonia"
"bacilli","bacillales","listeriaceae","brochothrix"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","kutzneria"
"alphaproteobacteria","rhodobacterales","roseobacteraceae","profundibacterium"
"bacilli","bacillales","bacillaceae","gracilibacillus"
"epsilonproteobacteria","campylobacterales","helicobacteraceae","helicobacter"
"gammaproteobacteria","enterobacterales","budviciaceae","leminorella"
"actinomycetia","micromonosporales","micromonosporaceae","planosporangium"
"spirochaetia","spirochaetales","spirochaetaceae","spirochaeta"
"flavobacteriia","flavobacteriales","weeksellaceae","moheibacter"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","kluyvera"
"bacteroidetes","bacteroidetes order ii. incertae sedis","rhodothermaceae","rubrivirga"
"alphaproteobacteria","sphingomonadales","sphingosinicellaceae","sphingosinicella"
"gammaproteobacteria","thiotrichales","thiotrichaceae","candidatus thiopilula"
"gammaproteobacteria","alteromonadales","idiomarinaceae","idiomarina"
"actinomycetia","micrococcales","microbacteriaceae","lysinimonas"
"bacteroidia","marinilabiliales","marinilabiliaceae","alkaliflexus"
"gammaproteobacteria","cellvibrionales","cellvibrionaceae","marinimicrobium"
"bacilli","bacillales","planococcaceae","solibacillus"
"deltaproteobacteria","desulfobacterales","desulfobulbaceae","desulforhopalus"
"flavobacteriia","flavobacteriales","flavobacteriaceae","coccinistipes"
"bacilli","lactobacillales","lactobacillaceae","leuconostoc"
"betaproteobacteria","neisseriales","chromobacteriaceae","aquaspirillum"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfonatronobacter"
"bacilli","bacillales","bacillaceae","lentibacillus"
"clostridia","eubacteriales","clostridiaceae","proteiniclasticum"
"deltaproteobacteria","syntrophorhabdales","syntrophorhabdaceae","syntrophorhabdus"
"alphaproteobacteria","rhodobacterales","rhodobacteraceae","pseudorhodobacter"
"gammaproteobacteria","thiotrichales","piscirickettsiaceae","thiomicrospira"
"acidobacteriia","acidobacteriales","acidobacteriaceae","telmatobacter"
"bacteroidia","bacteroidales","odoribacteraceae","odoribacter"
"clostridia","eubacteriales","caldicoprobacteraceae","caldicoprobacter"
"ardenticatenia","ardenticatenales","ardenticatenaceae","ardenticatena"
"actinomycetia","micrococcales","brevibacteriaceae","brevibacterium"
"betaproteobacteria","neisseriales","neisseriaceae","vitreoscilla"
"clostridia","eubacteriales","syntrophomonadaceae","dethiobacter"
"sphingobacteriia","sphingobacteriales","chitinophagaceae","gracilimonas"
"gammaproteobacteria","thiotrichales","fastidiosibacteraceae","fangia"
"bacilli","lactobacillales","aerococcaceae","aerococcus"
"deinococci","trueperales","trueperaceae","truepera"
"betaproteobacteria","burkholderiales","burkholderiales","rubrivivax"
"hydrogenophilalia","hydrogenophilales","hydrogenophilaceae","hydrogenophilus"
"alphaproteobacteria","hyphomicrobiales","beijerinckiaceae","methyloferula"
"actinomycetia","micrococcales","microbacteriaceae","salinibacterium"
"alphaproteobacteria","rhodobacterales","roseobacteraceae","jannaschia"
"actinomycetia","micrococcales","intrasporangiaceae","phycicoccus"
"clostridia","thermosediminibacterales","thermosediminibacteraceae","fervidicola"
"actinomycetia","streptosporangiales","thermomonosporaceae","thermomonospora"
"clostridia","eubacteriales","oscillospiraceae","acetivibrio"
"clostridia","eubacteriales","eubacteriales family xii. incertae sedis","guggenheimella"
"cytophagia","cytophagales","cesiribacteraceae","nafulsella"
"gammaproteobacteria","gammaproteobacteria","xanthomonadaceae","wohlfahrtiimonas"
"gammaproteobacteria","chromatiales","ectothiorhodospiraceae","arhodomonas"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","candidatus purcelliella"
"actinomycetia","micrococcales","microbacteriaceae","microbacterium"
"actinomycetia","catenulisporales","actinospicaceae","actinospica"
"alphaproteobacteria","rhodobacterales","roseobacteraceae","actibacterium"
"gammaproteobacteria","xanthomonadales","xanthomonadaceae","xanthomonas"
"gammaproteobacteria","thiotrichales","fastidiosibacteraceae","caedibacter"
"alphaproteobacteria","sneathiellales","sneathiellaceae","sneathiella"
"actinomycetia","micrococcales","microbacteriaceae","candidatus limnoluna"
"clostridia","eubacteriales","ruminococcaceae","gemmiger"
"gammaproteobacteria","chromatiales","chromatiaceae","thiodictyon"
"clostridia","eubacteriales","syntrophomonadaceae","candidatus contubernalis"
"betaproteobacteria","ferritrophicales","ferritrophicaceae","ferritrophicum"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","crossiella"
"bacteroidia","bacteroidales","prevotellaceae","alloprevotella"
"epsilonproteobacteria","campylobacterales","thiovulaceae","sulfurimonas"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","algorimarina"
"gammaproteobacteria","aeromonadales","aeromonadaceae","tolumonas"
"gammaproteobacteria","gammaproteobacteria","gammaproteobacteria","pseudohongiella"
"gammaproteobacteria","chromatiales","granulosicoccaceae","granulosicoccus"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfoluna"
"gammaproteobacteria","chromatiales","chromatiaceae","thiophaeococcus"
"alphaproteobacteria","holosporales","caedimonadaceae","candidatus nucleicultrix"
"bacilli","bacillales","bacillaceae","geobacillus"
"clostridia","eubacteriales","lachnospiraceae","tyzzerella"
"negativicutes","veillonellales","veillonellaceae","megasphaera"
"clostridia","eubacteriales","clostridiaceae","butyricicoccus"
"betaproteobacteria","burkholderiales","oxalobacteraceae","janthinobacterium"
"gammaproteobacteria","legionellales","coxiellaceae","rickettsiella"
"gammaproteobacteria","legionellales","legionellaceae","tatlockia"
"nitrospira","nitrospirales","nitrospiraceae","candidatus magnetobacterium"
"betaproteobacteria","burkholderiales","alcaligenaceae","alcaligenes"
"gammaproteobacteria","methylococcales","methylococcaceae","methylosphaera"
"alphaproteobacteria","rhodobacterales","rhodobacteraceae","jhaorihella"
"betaproteobacteria","nitrosomonadales","methylophilaceae","methylophilus"
"gammaproteobacteria","cellvibrionales","porticoccaceae","porticoccus"
"actinomycetia","micrococcales","microbacteriaceae","pseudoclavibacter"
"actinomycetia","streptosporangiales","streptosporangiaceae","herbidospora"
"bacilli","lactobacillales","enterococcaceae","tetragenococcus"
"clostridia","eubacteriales","christensenellaceae","christensenella"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfofaba"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","gluconobacter"
"cyanobacteria","gloeoemargaritales","gloeomargaritaceae","candidatus gloeomargarita"
"cytophagia","cytophagales","cyclobacteriaceae","cyclobacterium"
"actinomycetia","micrococcales","microbacteriaceae","cryocola"
"actinomycetia","micrococcales","microbacteriaceae","amnibacterium"
"gammaproteobacteria","methylococcales","methylococcaceae","methylomicrobium"
"chlamydiia","parachlamydiales","waddliaceae","waddlia"
"gammaproteobacteria","cellvibrionales","spongiibacteraceae","sinobacterium"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","candidatus rosenkranzia"
"alphaproteobacteria","rhodospirillales","thalassospiraceae","thalassospira"
"cytophagia","cytophagales","thermonemataceae","thermonema"
"alphaproteobacteria","rhodobacterales","rhodobacteraceae","haematobacter"
"clostridia","eubacteriales","peptococcaceae","desulfitibacter"
"bacilli","bacillales","bacillaceae","natribacillus"
"gammaproteobacteria","cellvibrionales","cellvibrionaceae","candidatus endobugula"
"cyanobacteria","nostocales","symphyonemataceae","loriellopsis"
"actinomycetia","corynebacteriales","tsukamurellaceae","tsukamurella"
"tissierellia","tissierellales","tissierellaceae","soehngenia"
"bacilli","bacillales","paenibacillaceae","thermobacillus"
"actinomycetia","glycomycetales","glycomycetaceae","stackebrandtia"
"cyanobacteria","synechococcales","pseudanabaenaceae","limnothrix"
"cyanobacteria","synechococcales","schizotrichaceae","schizothrix"
"alphaproteobacteria","hyphomicrobiales","beijerinckiaceae","rhodoblastus"
"epsilonproteobacteria","campylobacterales","campylobacteraceae","arcobacter"
"actinomycetia","micromonosporales","micromonosporaceae","polymorphospora"
"alphaproteobacteria","holosporales","holosporaceae","holospora"
"actinomycetia","micrococcales","dermacoccaceae","demetria"
"clostridia","thermoanaerobacterales","thermoanaerobacteraceae","desulfovirgula"
"actinomycetia","micrococcales","ruaniaceae","haloactinobacterium"
"actinomycetia","micrococcales","microbacteriaceae","leucobacter"
"flavobacteriia","flavobacteriales","flavobacteriaceae","salinimicrobium"
"clostridia","eubacteriales","lachnospiraceae","robinsoniella"
"flavobacteriia","flavobacteriales","flavobacteriaceae","marixanthomonas"
"cyanobacteria","synechococcales","synechococcaceae","synechococcus"
"alphaproteobacteria","rickettsiales","candidatus midichloriaceae","candidatus midichloria"
"alphaproteobacteria","rhodobacterales","rhodobacteraceae","agaricicola"
"actinomycetia","micromonosporales","micromonosporaceae","rugosimonospora"
"cyanobacteria","synechococcales","prochlorotrichaceae","prochlorothrix"
"actinomycetia","micrococcales","intrasporangiaceae","terracoccus"
"bacteroidia","bacteroidales","bacteroidales","candidatus symbiothrix"
"betaproteobacteria","burkholderiales","comamonadaceae","delftia"
"bacilli","bacillales","bacillaceae","halobacillus"
"clostridia","natranaerobiales","natranaerobiaceae","natranaerobius"
"clostridia","eubacteriales","lachnospiraceae","stomatobaculum"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","candidatus magnetomorum"
"betaproteobacteria","burkholderiales","oxalobacteraceae","oxalicibacterium"
"gammaproteobacteria","oceanospirillales","halomonadaceae","chromohalobacter"
"flavobacteriia","flavobacteriales","flavobacteriaceae","zunongwangia"
"clostridia","eubacteriales","eubacteriales","natranaerovirga"
"bacilli","bacillales","bacillaceae","halolactibacillus"
"actinomycetia","bifidobacteriales","micrococcineae","candidatus ancillula"
"clostridia","eubacteriales","clostridiaceae","lactonifactor"
"betaproteobacteria","burkholderiales","burkholderiales","inhella"
"gammaproteobacteria","legionellales","coxiellaceae","diplorickettsia"
"cyanobacteria","synechococcales","leptolyngbyaceae","neosynechococcus"
"deltaproteobacteria","syntrophobacterales","syntrophobacteraceae","desulfosoma"
"clostridia","eubacteriales","lachnospiraceae","blautia"
"gammaproteobacteria","xanthomonadales","rhodanobacteraceae","aquimonas"
"alphaproteobacteria","hyphomicrobiales","phyllobacteriaceae","chelativorans"
"alphaproteobacteria","rhodobacterales","roseobacteraceae","octadecabacter"
"bacilli","bacillales","bacillales family x. incertae sedis","thermicanus"
"chlamydiia","chlamydiales","chlamydiaceae","chlamydia"
"clostridia","natranaerobiales","natranaerobiaceae","natronoanaerobium"
"alphaproteobacteria","rhodobacterales","neomegalonemataceae","meganema"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","candidatus magnetananas"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfotignum"
"clostridia","eubacteriales","eubacteriales","metabacterium"
"deltaproteobacteria","desulfovibrionales","desulfohalobiaceae","desulfonatronovibrio"
"actinomycetia","micrococcales","micrococcaceae","renibacterium"
"alphaproteobacteria","rhodobacterales","roseobacteraceae","thalassobius"
"alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomicrobium"
"cyanobacteria","synechococcales","synechococcales","jaaginema"
"actinomycetia","micrococcales","ornithinimicrobiaceae","ornithinimicrobium"
"flavobacteriia","flavobacteriales","weeksellaceae","elizabethkingia"
"alphaproteobacteria","hyphomicrobiales","rhizobiaceae","amorphomonas"
"actinomycetia","corynebacteriales","gordoniaceae","skermania"
"gammaproteobacteria","cellvibrionales","microbulbiferaceae","microbulbifer"
"alphaproteobacteria","rickettsiales","candidatus midichloriaceae","candidatus lariskella"
"betaproteobacteria","burkholderiales","alcaligenaceae","advenella"
"flavobacteriia","flavobacteriales","flavobacteriaceae","myroides"
"coriobacteriia","coriobacteriales","atopobiaceae","atopobium"
"bacilli","lactobacillales","carnobacteriaceae","dolosigranulum"
"gammaproteobacteria","oceanospirillales","hahellaceae","zooshikella"
"negativicutes","selenomonadales","sporomusaceae","acetonema"
"clostridia","eubacteriales","lachnospiraceae","parasporobacterium"
"gammaproteobacteria","oceanospirillales","endozoicomonadaceae","kistimonas"
"synergistia","synergistales","synergistaceae","pyramidobacter"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","sciscionella"
"gammaproteobacteria","methylococcales","methylococcaceae","methylovulum"
"actinomycetia","micrococcales","kytococcaceae","kytococcus"
"gammaproteobacteria","gammaproteobacteria","candidatus competibacteraceae","candidatus competibacter"
"ktedonobacteria","ktedonobacterales","thermosporotrichaceae","thermosporothrix"
"alphaproteobacteria","hyphomicrobiales","brucellaceae","daeguia"
"bacilli","bacillales","staphylococcaceae","nosocomiicoccus"
"alphaproteobacteria","rhodobacterales","roseobacteraceae","phaeobacter"
"tissierellia","tissierellia","clostridiales family xi. incertae sedis","sedimentibacter"
"gammaproteobacteria","gammaproteobacteria","candidatus competibacteraceae","plasticicumulans"
"gammaproteobacteria","chromatiales","ectothiorhodospiraceae","thiorhodospira"
"bacilli","lactobacillales","enterococcaceae","vagococcus"
"acidimicrobiia","acidimicrobiales","acidimicrobiaceae","ferrithrix"
"actinomycetia","micrococcales","micrococcaceae","kocuria"
"gammaproteobacteria","pseudomonadales","pseudomonadaceae","azomonas"
"betaproteobacteria","burkholderiales","burkholderiaceae","polynucleobacter"
"gammaproteobacteria","gammaproteobacteria","gammaproteobacteria","oceanrickettsia"
"cytophagia","cytophagales","reichenbachiellaceae","reichenbachiella"
"deltaproteobacteria","desulfuromonadales","geobacteraceae","geothermobacter"
"bacteroidia","marinilabiliales","marinifilaceae","marinifilum"
"betaproteobacteria","burkholderiales","burkholderiaceae","lautropia"
"epsilonproteobacteria","nautiliales","nautiliaceae","caminibacter"
"bacteroidia","marinilabiliales","marinilabiliaceae","alkalitalea"
"betaproteobacteria","burkholderiales","burkholderiales","methylibium"
"deltaproteobacteria","syntrophobacterales","syntrophobacteraceae","desulfoglaeba"
"bacilli","bacillales","staphylococcaceae","jeotgalicoccus"
"bacteroidetes","bacteroidetes order ii. incertae sedis","rhodothermaceae","salinibacter"
"bacteroidia","bacteroidales","barnesiellaceae","barnesiella"
"spirochaetia","brachyspirales","brachyspiraceae","brachyspira"
"actinomycetia","micrococcales","micrococcaceae","micrococcus"
"alphaproteobacteria","rhodobacterales","roseobacteraceae","oceaniovalibus"
"bacteroidia","bacteroidales","dysgonomonadaceae","petrimonas"
"bacteroidia","bacteroidales","bacteroidaceae","acetomicrobium"
"clostridia","eubacteriales","peptococcaceae","desulfitispora"
"bacilli","bacillales","bacillaceae","alkalibacillus"
"gammaproteobacteria","oceanospirillales","oceanospirillaceae","profundimonas"
"clostridia","eubacteriales","clostridiaceae","oxobacter"
"clostridia","halanaerobiales","halobacteroidaceae","halonatronum"
"clostridia","eubacteriales","peptostreptococcaceae","tepidibacter"
"bacilli","lactobacillales","aerococcaceae","abiotrophia"
"gammaproteobacteria","thiotrichales","thiotrichaceae","candidatus maribeggiatoa"
"opitutae","puniceicoccales","puniceicoccaceae","pelagicoccus"
"bacilli","lactobacillales","aerococcaceae","facklamia"
"cytophagia","cytophagales","cytophagaceae","rhodonellum"
"gammaproteobacteria","cellvibrionales","cellvibrionaceae","gilvimarinus"
"flavobacteriia","flavobacteriales","flavobacteriaceae","coralibacter"
"betaproteobacteria","burkholderiales","oxalobacteraceae","glaciimonas"
"betaproteobacteria","burkholderiales","burkholderiales","leptothrix"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfatibacillum"
"aquificae","aquificales","aquificaceae","thermocrinis"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","buttiauxella"
"actinomycetia","micrococcales","microbacteriaceae","clavibacter"
"alphaproteobacteria","rhodospirillales","rhodospirillaceae","roseospira"
"bacilli","bacillales","planococcaceae","rummeliibacillus"
"chlamydiia","parachlamydiales","simkaniaceae","candidatus fritschea"
"mollicutes","anaeroplasmatales","anaeroplasmataceae","anaeroplasma"
"spirochaetia","spirochaetales","spirochaetaceae","spironema"
"clostridia","eubacteriales","thermohalobacteraceae","thermohalobacter"
"alphaproteobacteria","magnetococcales","magnetococcaceae","magnetofaba"
"clostridia","thermoanaerobacterales","thermoanaerobacteraceae","calderihabitans"
"actinomycetia","micrococcales","microbacteriaceae","agrococcus"
"gammaproteobacteria","methylococcales","methylococcaceae","methylocaldum"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","actinosynnema"
"bacilli","bacillales","bacillaceae","thalassobacillus"
"gammaproteobacteria","methylococcales","methylococcaceae","clonothrix"
"gammaproteobacteria","xanthomonadales","xanthomonadaceae","rehaibacterium"
"flavobacteriia","flavobacteriales","blattabacteriaceae","blattabacterium"
"lentisphaeria","lentisphaerales","lentisphaeraceae","lentisphaera"
"alphaproteobacteria","rhodospirillales","thalassospiraceae","magnetovibrio"
"betaproteobacteria","burkholderiales","oxalobacteraceae","telluria"
"gammaproteobacteria","oceanospirillales","halomonadaceae","salicola"
"gammaproteobacteria","pseudomonadales","moraxellaceae","moraxella"
"clostridia","eubacteriales","eubacteriaceae","alkalibacter"
"erysipelotrichia","erysipelotrichales","erysipelotrichaceae","allobaculum"
"clostridia","thermoanaerobacterales","thermoanaerobacterales family iii. incertae sedis","thermoanaerobacterium"
"actinomycetia","micrococcales","dermabacteraceae","dermabacter"
"actinomycetia","micrococcales","dermacoccaceae","luteipulveratus"
"gammaproteobacteria","methylococcales","methylothermaceae","methylohalobius"
"deltaproteobacteria","desulfobacterales","desulfobulbaceae","desulfopila"
"verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","roseibacillus"
"actinomycetia","micrococcales","microbacteriaceae","herbiconiux"
"saprospiria","saprospirales","saprospiraceae","saprospira"
"betaproteobacteria","burkholderiales","alcaligenaceae","derxia"
"flavobacteriia","flavobacteriales","weeksellaceae","bergeyella"
"cyanobacteria","synechococcales","leptolyngbyaceae","phormidesmis"
"clostridia","eubacteriales","symbiobacteriaceae","symbiobacterium"
"gammaproteobacteria","alteromonadales","alteromonadaceae","alishewanella"
"clostridia","eubacteriales","ruminococcaceae","candidatus soleaferrea"
"negativicutes","selenomonadales","sporomusaceae","anaerospora"
"actinomycetia","actinomycetales","actinomycetaceae","mobiluncus"
"verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","haloferula"
"clostridia","thermoanaerobacterales","thermodesulfobiaceae","thermodesulfobium"
"deferribacteres","deferribacterales","deferribacteraceae","mucispirillum"
"betaproteobacteria","neisseriales","chromobacteriaceae","laribacter"
"gammaproteobacteria","alteromonadales","colwelliaceae","colwellia"
"gammaproteobacteria","thiotrichales","thiotrichaceae","beggiatoa"
"clostridia","eubacteriales","oscillospiraceae","oscillibacter"
"cyanobacteria","oscillatoriales","microcoleaceae","planktothricoides"
"clostridia","halanaerobiales","halobacteroidaceae","orenia"
"gammaproteobacteria","oceanospirillales","oceanospirillaceae","marinomonas"
"alphaproteobacteria","hyphomicrobiales","rhodovibrionaceae","tistlia"
"betaproteobacteria","burkholderiales","comamonadaceae","rhodoferax"
"betaproteobacteria","neisseriales","neisseriaceae","neisseria"
"actinomycetia","pseudonocardiales","pseudonocardiaceae","streptoalloteichus"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","candidatus annandia"
"alphaproteobacteria","holosporales","candidatus paracaedibacteraceae","candidatus captivus"
"actinomycetia","micrococcales","micrococcaceae","tersicoccus"
"bacilli","bacillales","staphylococcaceae","macrococcus"
"betaproteobacteria","burkholderiales","burkholderiales","roseateles"
"gammaproteobacteria","chromatiales","chromatiaceae","lamprobacter"
"chlamydiia","parachlamydiales","parachlamydiaceae","neochlamydia"
"gammaproteobacteria","chromatiales","chromatiaceae","thiorhodovibrio"
"negativicutes","acidaminococcales","acidaminococcaceae","acidaminococcus"
"cytophagia","cytophagales","cytophagaceae","fluviimonas"
"deinococci","thermales","thermaceae","thermus"
"alphaproteobacteria","hyphomicrobiales","devosiaceae","pelagibacterium"
"actinomycetia","streptosporangiales","streptosporangiaceae","planobispora"
"gammaproteobacteria","chromatiales","chromatiaceae","chromatium"
"alphaproteobacteria","rhodospirillales","acetobacteraceae","gluconacetobacter"
"actinomycetia","micromonosporales","micromonosporaceae","salinispora"
"caldisericia","caldisericales","caldisericaceae","caldisericum"
"flavobacteriia","flavobacteriales","flavobacteriaceae","flavimarina"
"gammaproteobacteria","alteromonadales","alteromonadaceae","glaciecola"
"deltaproteobacteria","desulfobacterales","desulfobacteraceae","desulfospira"
"betaproteobacteria","burkholderiales","comamonadaceae","simplicispira"
"gammaproteobacteria","enterobacterales","enterobacteriaceae","candidatus ishikawaella"
"gammaproteobacteria","xanthomonadales","rhodanobacteraceae","pseudofulvimonas"
"actinomycetia","micrococcales","beutenbergiaceae","miniimonas"
